InsertionSort;MergeSort;QuickSort
1573;0.001305;0.046144;1.127251
1574;0.001346;0.046172;1.154514
1575;0.00135;0.046088;1.095964
1576;0.001402;0.045912;1.086685
1577;0.001232;0.046199;1.169352
1578;0.001461;0.046032;1.154648
1579;0.001452;0.04826;1.372543
1580;0.001445;0.046003;1.114488
1581;0.001479;0.046254;1.55299
1582;0.001366;0.046065;1.19738
1583;0.001378;0.046043;1.323033
1584;0.001077;0.046048;1.12554
1585;0.00105;0.046172;1.294183
1586;0.001248;0.046279;1.298287
1587;0.001386;0.046153;1.11524
1588;0.001297;0.046193;1.123181
1589;0.001307;0.046718;1.166974
1590;0.001287;0.046253;1.134313
1591;0.00106;0.046243;1.157661
1592;0.001066;0.048095;1.08849
1593;0.001282;0.046401;1.290328
1594;0.001016;0.046271;1.177604
1595;0.001073;0.046824;1.157026
1596;0.001116;0.046273;1.375117
1597;0.001166;0.046359;1.078697
1598;0.001205;0.046467;1.144954
1599;0.001234;0.046256;1.184367
1600;0.001333;0.046442;1.156413
1601;0.001356;0.046616;1.165184
1602;0.00136;0.046769;1.128297
1603;0.001348;0.046642;1.205607
1604;0.001425;0.049025;1.229173
1605;0.001417;0.046737;1.176337
1606;0.001502;0.047141;1.615914
1607;0.001393;0.047002;1.12939
1608;0.001515;0.046643;1.058888
1609;0.001302;0.046995;1.052162
1610;0.001397;0.047614;1.233149
1611;0.00127;0.046988;1.12292
1612;0.001236;0.047053;1.168925
1613;0.001385;0.046964;1.107599
1614;0.001178;0.047303;1.052176
1615;0.001096;0.047092;1.07656
1616;0.00129;0.047097;1.060031
1617;0.001375;0.057112;1.363425
1618;0.001211;0.059396;1.227092
1619;0.001489;0.047479;1.943154
1620;0.001319;0.047437;1.167483
1621;0.001318;0.047223;1.149913
1622;0.001332;0.047778;1.066523
1623;0.001375;0.04797;1.056731
1624;0.001214;0.047282;1.266431
1625;0.001441;0.048051;1.463953
1626;0.001503;0.047985;1.151512
1627;0.001322;0.049098;1.284464
1628;0.001316;0.0493;1.150644
1629;0.001413;0.049449;1.169873
1630;8.15E-4;0.04894;1.070274
1631;8.16E-4;0.049058;1.1458
1632;8.14E-4;0.049063;1.158623
1633;8.14E-4;0.049479;1.59196
1634;8.11E-4;0.050012;1.126102
1635;8.08E-4;0.049634;1.142048
1636;0.001059;0.049787;1.146755
1637;8.27E-4;0.051762;1.179198
1638;8.14E-4;0.049436;1.524981
1639;0.002051;0.049096;1.115113
1640;0.001271;0.049297;1.191985
1641;0.001378;0.056511;1.163841
1642;0.00141;0.049766;1.101964
1643;0.001414;0.055246;1.096792
1644;0.001419;0.048031;1.631131
1645;0.001322;0.045969;1.199271
1646;0.001386;0.04598;1.321501
1647;0.001199;0.045739;1.091702
1648;0.001329;0.045679;1.107637
1649;0.001308;0.046058;1.173552
1650;0.00126;0.045937;1.142939
1651;0.001323;0.046894;1.106067
1652;0.00139;0.045981;1.095776
1653;0.001407;0.119114;1.115977
1654;0.001281;0.120872;1.212333
1655;0.001279;0.086694;1.551993
1656;0.001326;0.055441;1.399942
1657;0.001321;0.066653;1.123866
1658;0.001148;0.05056;1.379627
1659;0.001276;0.04949;1.223076
1660;0.001297;0.049537;1.110287
1661;0.001334;0.049404;1.605265
1662;0.001403;0.049616;1.19962
1663;0.001402;0.049291;1.652101
1664;0.00119;0.049248;1.128619
1665;0.001398;0.046301;1.20246
1666;0.001157;0.046511;1.591151
1667;0.001344;0.046159;1.205098
1668;0.001367;0.046261;1.125196
1669;0.001106;0.046589;1.110442
1670;0.001311;0.046827;1.465484
1671;0.001187;0.046365;1.35486
1672;0.001386;0.046441;1.390699
1673;0.001331;0.096251;1.878959
1674;0.001295;0.120056;1.138029
1675;0.001292;0.109773;1.274095
1676;0.001291;0.087392;1.221773
1677;0.00134;0.087847;1.187293
1678;0.001397;0.088773;1.224339
1679;0.001158;0.078581;1.844587
1680;0.001337;0.073311;1.647464
1681;0.001157;0.069666;1.283106
1682;0.0013;0.061549;1.298363
1683;0.001322;0.069467;1.227898
1684;0.001392;0.069555;1.25163
1685;0.001419;0.070283;1.323762
1686;0.001165;0.05935;1.449968
1687;0.001354;0.0595;1.30977
1688;0.001393;0.059554;1.253261
1689;0.001171;0.062203;1.329627
1690;0.001364;0.054932;1.374304
1691;0.001415;0.052765;1.222013
1692;0.001174;0.051646;1.419392
1693;0.001327;0.050842;1.372027
1694;0.001417;0.049492;1.292763
1695;0.001421;0.049402;1.198438
1696;0.001417;0.049312;1.232304
1697;0.0012;0.052402;1.462536
1698;0.001415;0.049949;1.202705
1699;0.001376;0.052187;1.395791
1700;0.001406;0.052658;1.256711
1701;0.001452;0.048312;1.36552
1702;0.001175;0.04912;1.226945
1703;0.001322;0.051485;1.192368
1704;0.001339;0.054674;1.87184
1705;0.00134;0.054895;1.583433
1706;0.001281;0.062427;1.289897
1707;0.001477;0.05381;1.270018
1708;0.001474;0.051376;1.207678
1709;0.001183;0.051656;1.227825
1710;0.001319;0.058063;1.29287
1711;0.001444;0.051227;1.270866
1712;0.001556;0.051133;1.229758
