InsertionSort;MergeSort;QuickSort
1357;0.306309;0.126345;0.094063
1358;0.281077;0.126324;0.093788
1359;0.270369;0.12638;0.100324
1360;0.280669;0.126513;0.095434
1361;0.275258;0.126503;0.093807
1362;0.270181;0.126781;0.094637
1363;0.277316;0.126842;0.09435
1364;0.268846;0.127571;0.094789
1365;0.273007;0.127164;0.094332
1366;0.278638;0.127447;0.093086
1367;0.27301;0.127292;0.094559
1368;0.273603;0.127161;0.094476
1369;0.30286;0.127342;0.095212
1370;0.305471;0.127782;0.097915
1371;0.305798;0.127773;0.097176
1372;0.281168;0.130469;0.095435
1373;0.286458;0.131048;0.09542
1374;0.277864;0.130318;0.095514
1375;0.273489;0.127852;0.09569
1376;0.2926;0.127708;0.10446
1377;0.300139;0.138473;0.096329
1378;0.282191;0.137556;0.095338
1379;0.453342;0.12917;0.094588
1380;0.276196;0.128917;0.099342
1381;0.285294;0.129029;0.095052
1382;0.277792;0.128967;0.095009
1383;0.27994;0.128808;0.09593
1384;0.299248;0.134895;0.093883
1385;0.279886;0.129066;0.119375
1386;0.281538;0.129242;0.100435
1387;0.306262;0.128992;0.101451
1388;0.306512;0.128808;0.09631
1389;0.386333;0.129266;0.097162
1390;0.312344;0.129563;0.096878
1391;0.304677;0.129445;0.100132
1392;0.283563;0.129645;0.097253
1393;0.284265;0.136156;0.097241
1394;0.290739;0.131233;0.099933
1395;0.283451;0.130195;0.100939
1396;0.305817;0.130257;0.097963
1397;0.282794;0.130664;0.098398
1398;0.290731;0.130924;0.096941
1399;0.288948;0.132912;0.102602
1400;0.285345;0.1304;0.097597
1401;0.285545;0.130397;0.098464
1402;0.282168;0.130802;0.097065
1403;0.287928;0.130324;0.106244
1404;0.330213;0.130389;0.100032
1405;0.311192;0.130201;0.096992
1406;0.323019;0.131239;0.096906
1407;0.349004;0.128615;0.097868
1408;0.309427;0.128407;0.098508
1409;0.333158;0.130294;0.097361
1410;0.292082;0.131441;0.097401
1411;0.311752;0.130861;0.096729
1412;0.290903;0.140948;0.098296
1413;0.286359;0.21614;0.098828
1414;0.299742;0.132761;0.099942
1415;0.290141;0.131767;0.09951
1416;0.315586;0.130966;0.096881
1417;0.295241;0.131846;0.099179
1418;0.29447;0.137807;0.098976
1419;0.312348;0.134648;0.098142
1420;0.323293;0.13127;0.109063
1421;0.317429;0.131823;0.106179
1422;0.315848;0.131998;0.128859
1423;0.295902;0.131977;0.118003
1424;0.294128;0.142042;0.103029
1425;0.301553;0.133196;0.098703
1426;0.29685;0.133373;0.114132
1427;0.319061;0.132615;0.107573
1428;0.297998;0.132423;0.098589
1429;0.295999;0.13304;0.100219
1430;0.295339;0.133226;0.099623
1431;0.301493;0.142768;0.099471
1432;0.300514;0.13494;0.099566
1433;0.296612;0.13494;0.099382
1434;0.309582;0.135092;0.100139
1435;0.300056;0.138597;0.100811
1436;0.335783;0.134091;0.10006
1437;0.327946;0.134167;0.10051
1438;0.322317;0.134593;0.100983
1439;0.343743;0.133665;0.100359
1440;0.302165;0.135675;0.099839
1441;0.315815;0.134482;0.099164
1442;0.321181;0.13476;0.10064
1443;0.302958;0.134491;0.122804
1444;0.307149;0.134824;0.101241
1445;0.30111;0.148074;0.100943
1446;0.313332;0.139837;0.10099
1447;0.302476;0.134719;0.102693
1448;0.301595;0.134915;0.100365
1449;0.302899;0.134817;0.10088
1450;0.315551;0.136814;0.100892
1451;0.321266;0.136896;0.100062
1452;0.336355;0.135358;0.106806
1453;0.355704;0.135612;0.105572
1454;0.32982;0.135496;0.1051
1455;0.332782;0.135586;0.100091
1456;0.31445;0.136965;0.099391
1457;0.330648;0.135452;0.099053
1458;0.34567;0.136167;0.101448
1459;0.356537;0.136094;0.100085
1460;0.46321;0.136193;0.106768
1461;0.317053;0.136368;0.102746
1462;0.329149;0.136627;0.102799
1463;0.341607;0.136107;0.102625
1464;0.318173;0.136253;0.102401
1465;0.322608;0.136861;0.102475
1466;0.332774;0.13659;0.102489
1467;0.336401;0.136289;0.125098
1468;0.343219;0.140264;0.106219
1469;0.333216;0.136882;0.10179
1470;0.313175;0.136806;0.102723
1471;0.324387;0.136475;0.103211
1472;0.318333;0.13629;0.10283
1473;0.31839;0.137138;0.102651
1474;0.323718;0.13722;0.102911
1475;0.317159;0.137078;0.102658
1476;0.32485;0.145858;0.104082
1477;0.315128;0.15595;0.109733
1478;0.315053;0.148628;0.120114
1479;0.332925;0.149252;0.106614
1480;0.318594;0.147431;0.107751
1481;0.345073;0.137903;0.103887
1482;0.340551;0.141571;0.104964
1483;0.343076;0.138261;0.105089
1484;0.338396;0.13847;0.103883
1485;0.324748;0.138624;0.104523
1486;0.318441;0.147814;0.104676
1487;0.328485;0.141182;0.106681
1488;0.337948;0.139423;0.104776
1489;0.338224;0.139302;0.114282
1490;0.342537;0.13904;0.10458
1491;0.343905;0.140929;0.102861
1492;0.342724;0.13941;0.104846
1493;0.324222;0.139746;0.10272
1494;0.321381;0.140159;0.102867
1495;0.356699;0.139344;0.104287
1496;0.349438;0.14504;0.105607
1497;0.349214;0.142686;0.104444
1498;0.323488;0.140472;0.104417
1499;0.330358;0.145306;0.104359
1500;0.332028;0.14015;0.10401
1501;0.344308;0.140274;0.105292
1502;0.32997;0.140811;0.11072
1503;0.325885;0.139761;0.108391
1504;0.328725;0.140033;0.10557
1505;0.32923;0.147696;0.10734
1506;0.334958;0.141629;0.129323
1507;0.328665;0.140765;0.1138
1508;0.345913;0.1407;0.105811
1509;0.347386;0.226264;0.106107
1510;0.328236;0.142786;0.107036
1511;0.337215;0.140813;0.106084
1512;0.332546;0.142092;0.110799
1513;0.33068;0.140673;0.106426
1514;0.33175;0.140846;0.106433
1515;0.332011;0.140735;0.105741
1516;0.330184;0.14107;0.106276
1517;0.341989;0.140901;0.108132
1518;0.330476;0.140983;0.107539
1519;0.335865;0.140615;0.106654
1520;0.333503;0.14103;0.106572
1521;0.336852;0.141113;0.106753
1522;0.338104;0.151335;0.10714
1523;0.333382;0.142077;0.106691
1524;0.36895;0.141215;0.107653
1525;0.364723;0.141157;0.107136
1526;0.372611;0.140858;0.107447
1527;0.357878;0.14065;0.107029
1528;0.342894;0.140791;0.108131
1529;0.344322;0.141313;0.1175
1530;0.36016;0.140281;0.110988
1531;0.378858;0.140581;0.106328
1532;0.3477;0.14063;0.107153
1533;0.361473;0.14054;0.108054
1534;0.340352;0.140954;0.111597
1535;0.348205;0.138094;0.108547
1536;0.345982;0.137442;0.108042
1537;0.35363;0.150089;0.120262
1538;0.342018;0.148233;0.115559
1539;0.348577;0.148888;0.115272
1540;0.353875;0.152394;0.114635
1541;0.376022;0.142786;0.114378
1542;0.369391;0.143222;0.11436
1543;0.373675;0.14296;0.105297
1544;0.350907;0.167821;0.10601
1545;0.35135;0.149177;0.104103
1546;0.419977;0.146497;0.103613
1547;0.345135;0.143516;0.123166
1548;0.352838;0.143944;0.111625
1549;0.344801;0.147643;0.105929
